,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,512,8,128,32,20,64.06,54.78,7.76,47.03
0,512,8,128,32,25,66.19,54.31,7.32,46.99
0,512,8,128,32,30,67.4,54.41,7.66,46.75
0,512,8,128,64,10,54.7,55.27,7.99,47.28
0,512,8,128,64,15,62.38,55.36,7.92,47.44
0,512,8,128,64,20,66.63,54.9,7.75,47.15
0,512,8,128,64,25,68.68,54.15,7.73,46.42
0,512,8,128,64,30,69.75,54.61,7.75,46.85
0,512,8,128,128,10,46.13,53.77,7.96,45.81
0,512,8,128,128,15,48.82,54.74,8.25,46.49
0,512,8,128,128,20,52.72,55.33,8.3,47.03
0,512,8,128,128,25,57.09,55.53,7.86,47.67
0,512,8,128,128,30,61.13,55.14,7.71,47.42
0,512,8,256,32,10,54.34,56.88,8.71,48.17
0,512,8,256,32,15,60.57,56.3,8.43,47.87
0,512,8,256,32,20,64.65,55.35,7.95,47.4
0,512,8,256,32,25,66.82,54.65,7.4,47.25
0,512,8,256,32,30,68.09,54.54,7.83,46.71
0,512,8,256,64,10,56.35,56.87,8.71,48.17
0,512,8,256,64,15,64.4,55.85,8.09,47.76
0,512,8,256,64,20,68.57,55.9,8.19,47.71
0,512,8,256,64,25,70.9,55.32,8.04,47.27
0,512,8,256,64,30,71.89,55.32,7.82,47.5
0,512,8,256,128,10,55.0,55.82,7.91,47.91
0,512,8,256,128,15,64.08,55.73,8.24,47.49
0,512,8,256,128,20,68.94,55.14,8.02,47.12
0,512,8,256,128,25,71.31,55.24,7.91,47.33
0,512,8,256,128,30,72.66,55.0,8.36,46.65
0,512,8,512,32,10,54.38,57.66,8.73,48.94
0,512,8,512,32,15,61.07,56.8,7.87,48.94
0,512,8,512,32,20,65.74,56.82,8.55,48.27
0,512,8,512,32,25,68.57,55.94,8.36,47.57
0,512,8,512,32,30,70.24,55.78,8.23,47.56
0,512,8,512,64,10,55.5,57.71,8.66,49.04
0,512,8,512,64,15,64.28,57.01,8.31,48.7
0,512,8,512,64,20,70.22,57.0,8.27,48.73
0,512,8,512,64,25,73.3,55.78,8.12,47.66
0,512,8,512,64,30,74.93,55.21,8.01,47.21
0,512,8,512,128,10,54.84,57.18,8.84,48.34
0,512,8,512,128,15,64.44,56.48,8.31,48.17
0,512,8,512,128,20,70.12,56.03,8.31,47.72
0,512,8,512,128,25,73.08,55.52,8.15,47.36
0,512,8,512,128,30,74.66,55.11,8.11,47.0
0,512,16,128,32,10,53.16,56.76,8.63,48.13
0,512,16,128,32,15,59.06,56.44,8.13,48.31
0,512,16,128,32,20,63.47,55.19,7.91,47.27
0,512,16,128,32,25,65.98,55.39,7.5,47.89
0,512,16,128,32,30,67.56,55.32,7.96,47.36
0,512,16,128,64,10,55.49,56.04,8.11,47.93
0,512,16,128,64,15,63.4,55.56,7.89,47.67
0,512,16,128,64,20,67.72,55.97,8.1,47.88
0,512,16,128,64,25,69.8,55.33,8.02,47.32
0,512,16,128,64,30,71.01,55.36,7.98,47.38
0,512,16,128,128,10,36.57,45.78,9.66,36.12
0,512,16,128,128,15,37.19,46.3,9.29,37.01
0,512,16,128,128,20,37.3,46.08,9.61,36.47
0,512,16,128,128,25,37.52,46.23,9.44,36.79
0,512,16,128,128,30,41.01,50.95,9.87,41.08
0,512,16,256,32,10,56.22,58.01,8.76,49.25
0,512,16,256,32,15,62.83,57.69,8.43,49.25
0,512,16,256,32,20,66.81,57.14,8.58,48.55
0,512,16,256,32,25,69.09,56.53,8.31,48.22
0,512,16,256,32,30,70.22,55.96,8.09,47.87
0,512,16,256,64,10,56.79,58.45,8.97,49.48
0,512,16,256,64,15,65.4,57.66,8.3,49.36
0,512,16,256,64,20,70.32,57.02,8.23,48.8
0,512,16,256,64,25,72.78,56.29,8.0,48.29
0,512,16,256,64,30,73.98,56.15,8.08,48.08
0,512,16,256,128,10,55.87,57.67,8.48,49.19
0,512,16,256,128,15,65.4,56.58,8.0,48.58
0,512,16,256,128,20,70.35,56.35,8.07,48.28
0,512,16,256,128,25,72.83,56.22,8.3,47.92
0,512,16,256,128,30,74.16,55.41,7.69,47.72
0,512,16,512,32,10,55.17,58.45,9.13,49.32
0,512,16,512,32,15,61.74,58.47,8.78,49.7
0,512,16,512,32,20,66.88,57.35,8.14,49.21
0,512,16,512,32,25,70.04,56.91,8.45,48.46
0,512,16,512,32,30,71.95,56.55,8.47,48.08
0,512,16,512,64,10,57.7,59.18,8.76,50.41
0,512,16,512,64,15,67.11,58.73,8.76,49.97
