,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,256,16,128,32,15,50.96,56.5,8.31,48.19
0,256,16,128,32,20,53.88,56.65,8.25,48.4
0,256,16,128,32,25,56.58,56.24,7.92,48.32
0,256,16,128,32,30,58.94,55.44,7.54,47.9
0,256,16,128,64,10,37.2,47.06,9.82,37.24
0,256,16,128,64,15,37.58,47.36,9.61,37.75
0,256,16,128,64,20,37.85,47.64,9.81,37.83
0,256,16,128,64,25,38.04,47.74,9.92,37.83
0,256,16,128,64,30,38.23,47.48,9.5,37.98
0,256,16,128,128,10,43.69,52.76,8.18,44.58
0,256,16,128,128,15,47.23,55.34,8.83,46.51
0,256,16,128,128,20,49.56,56.51,8.58,47.92
0,256,16,128,128,25,53.75,56.22,8.06,48.16
0,256,16,128,128,30,58.44,56.88,8.31,48.57
0,256,16,256,32,10,50.43,57.35,8.74,48.61
0,256,16,256,32,15,54.16,57.44,9.16,48.27
0,256,16,256,32,20,57.87,57.34,8.52,48.82
0,256,16,256,32,25,60.78,57.09,8.09,49.0
0,256,16,256,32,30,62.96,56.64,8.16,48.48
0,256,16,256,64,10,46.14,54.9,8.68,46.22
0,256,16,256,64,15,48.64,56.81,8.78,48.03
0,256,16,256,64,20,51.43,57.37,8.71,48.66
0,256,16,256,64,25,54.92,57.22,8.72,48.5
0,256,16,256,64,30,58.77,56.92,8.4,48.51
0,256,16,256,128,10,50.41,57.47,8.94,48.53
0,256,16,256,128,15,56.38,58.09,8.4,49.69
0,256,16,256,128,20,62.78,57.94,8.34,49.6
0,256,16,256,128,25,67.6,57.65,8.16,49.5
0,256,16,256,128,30,71.0,57.14,8.11,49.03
0,256,16,512,32,10,57.27,59.67,8.99,50.68
0,256,16,512,32,15,64.06,60.01,8.84,51.17
0,256,16,512,32,20,69.1,58.8,8.75,50.05
0,256,16,512,32,25,72.16,58.1,8.45,49.65
0,256,16,512,32,30,73.98,57.83,8.27,49.56
0,256,16,512,64,10,57.58,59.82,9.32,50.5
0,256,16,512,64,15,66.8,58.92,8.5,50.42
0,256,16,512,64,20,72.97,58.09,8.42,49.67
0,256,16,512,64,25,76.45,58.1,8.24,49.87
0,256,16,512,64,30,78.39,57.35,8.08,49.27
0,256,16,512,128,10,56.68,58.84,8.69,50.15
0,256,16,512,128,15,66.79,58.67,8.57,50.1
0,256,16,512,128,20,72.77,57.99,8.33,49.66
0,256,16,512,128,25,75.93,57.8,8.27,49.53
0,256,16,512,128,30,77.8,57.41,8.33,49.08
0,256,32,128,32,10,39.64,48.93,9.08,39.85
0,256,32,128,32,15,46.66,54.89,8.39,46.49
0,256,32,128,32,20,48.74,56.1,8.22,47.88
0,256,32,128,32,25,50.23,56.34,8.06,48.28
0,256,32,128,32,30,51.53,56.7,7.97,48.73
0,256,32,128,64,10,40.26,50.4,9.56,40.84
0,256,32,128,64,15,48.61,56.67,8.68,47.99
0,256,32,128,64,20,51.91,57.39,8.66,48.73
0,256,32,128,64,25,56.86,58.0,8.45,49.56
0,256,32,128,64,30,62.37,57.78,8.12,49.66
0,256,32,128,128,10,49.07,57.0,8.69,48.3
0,256,32,128,128,15,53.24,57.84,8.85,49.0
0,256,32,128,128,20,59.19,58.03,8.66,49.38
0,256,32,128,128,25,64.56,57.09,7.65,49.44
0,256,32,128,128,30,68.33,56.59,7.66,48.93
