Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
410.bwaves-s0.trace.gz,sisb_bo,99.47190467388289,57.68572113723373,9.657926666666667,57.68580765312322,0.946407,52.69603967744331
450.soplex-s0.trace.gz,no,N/A,0.0,32.37754978414967,N/A,0.317973,N/A
450.soplex-s0.trace.gz,yours,98.51976184128233,32.52353866751364,21.874953187500314,32.44651502536825,0.398497,25.324162743377578
450.soplex-s0.trace.gz,bo,58.255145058753634,39.288057946483754,21.18638319209078,34.57293341996668,0.370703,16.583169011205353
450.soplex-s0.trace.gz,sisb,84.95469428745434,46.30080287638146,17.88242321411718,44.7761100309393,0.43872,37.97397892273872
450.soplex-s0.trace.gz,sisb_bo,69.18274760836151,50.775877046158534,17.037459886416936,47.385496984714806,0.443379,39.43919766772651
433.milc-s1.trace.gz,no,N/A,0.0,26.6362799112124,N/A,0.475718,N/A
433.milc-s1.trace.gz,yours,99.99316705885877,26.737632905268306,19.514266601619113,26.738192166767625,0.525254,10.412891671116087
433.milc-s1.trace.gz,bo,68.16992762039884,51.22814433669569,12.991393333333333,51.226813790631674,0.722374,51.84920478098369
433.milc-s1.trace.gz,sisb,99.99238033928141,35.1439566825965,17.27522,35.14417582093037,0.575983,21.076562164980103
433.milc-s1.trace.gz,sisb_bo,81.39785879192229,49.190564587519816,13.533943333333333,49.18993510495622,0.740983,55.76097604042731
437.leslie3d-s0.trace.gz,no,N/A,0.0,26.783823244053924,N/A,0.479389,N/A
437.leslie3d-s0.trace.gz,yours,99.8647968676003,23.51361253495164,20.48659326504469,23.619465995503155,0.577803,20.529048434569827
437.leslie3d-s0.trace.gz,bo,94.33881359901524,56.29573283692913,11.7169799609434,56.315372948617316,0.866796,80.81265944775538
437.leslie3d-s0.trace.gz,sisb,94.94478801360665,39.48477233280287,16.218353279272158,39.532821874389484,0.709642,48.0305138415775
437.leslie3d-s0.trace.gz,sisb_bo,94.69026696878805,49.217334793580505,13.612396621292012,49.24865693559107,0.818873,70.81597616966596
471.omnetpp-s1.trace.gz,no,N/A,0.0,17.051976609826745,N/A,0.315132,N/A
471.omnetpp-s1.trace.gz,yours,97.79954831765973,43.24653380200126,9.698923333333333,43.172746295369684,0.392446,24.533846134318313
471.omnetpp-s1.trace.gz,bo,22.58393751366914,23.054298618819566,14.681839951060534,13.977189234668705,0.330498,4.876051940139367
471.omnetpp-s1.trace.gz,sisb,85.48528632370956,67.94813876546138,5.569449981435167,67.3678678273994,0.450792,43.04862724191767
471.omnetpp-s1.trace.gz,sisb_bo,50.77524761445551,64.27303607879368,6.70814,60.69613496623383,0.433658,37.61154056078087
